e,2
c,6
b,9
0,9
f,4
1,d
7,e
a,9
e,d
4,2
c,3
8,b
a,1
8,6
5,a
3,1
5,8
e,0
b,9
d,0
3,4
0,3
0,a
8,f
a,8
3,3
7,4
7,d
0,7
6,9
4,5
b,a
b,5
b,9
2,a
6,e
8,9
b,6
9,9
c,6
1,7
c,6
6,6
d,5
b,f
7,1
c,0
0,0
f,b
d,8
1,9
c,3
1,0
2,2
b,1
1,0
7,b
7,0
9,5
f,8
0,7
3,4
1,2
e,2
f,c
1,1
2,c
6,2
5,6
f,f
9,e
7,9
1,d
c,1
5,4
8,3
e,e
3,6
1,8
a,8
8,6
a,2
2,f
1,6
4,f
0,e
c,9
0,a
4,c
6,7
2,9
b,5
a,9
9,1
1,f
7,5
9,4
c,7
d,6
5,7
a,6
6,c
8,d
4,a
9,a
f,d
6,3
0,4
6,2
7,2
9,7
f,2
1,0
c,2
b,f
a,1
8,e
8,a
3,1
6,b
3,f
a,d
c,e
5,f
7,a
8,2
a,8
8,8
d,e
2,0
d,2
4,d
6,f
0,f
c,d
b,2
a,d
8,d
4,8
5,2
8,d
c,0
d,b
a,7
1,b
2,a
8,b
7,d
b,8
7,c
1,1
c,5
9,9
4,f
e,8
6,2
6,c
9,f
9,f
e,c
2,5
0,4
8,8
f,2
b,6
0,9
3,8
3,9
9,d
f,a
6,f
2,3
d,d
5,5
9,a
9,8
8,a
9,d
b,b
c,3
7,c
a,8
c,e
4,b
2,7
2,a
3,b
4,0
0,3
6,e
b,0
9,0
1,f
e,3
a,3
9,1
c,4
c,e
e,8
7,d
f,e
5,9
a,f
3,0
2,b
9,c
4,1
e,5
a,8
0,c
2,e
5,4
f,e
4,5
0,2
c,9
c,e
0,4
c,6
1,a
1,1
e,0
8,5
c,b
1,1
9,6
6,f
7,c
a,5
9,b
4,3
e,3
c,6
d,8
c,4
b,3
f,8
f,9
5,f
1,1
3,d
b,6
f,d
e,2
0,f
e,6
5,e
f,4
a,a
1,5
c,f
b,d
e,2
d,7
9,6
c,9
1,b
6,0
c,7
b,6
1,c
8,b
3,0
a,7
8,d
e,7
6,5
b,4
1,4
1,e
f,d
b,d
a,2
2,0
7,2
6,d
f,1
6,4
5,1
0,5
5,4
7,e
2,8
1,8
6,8
5,b
2,f
3,5
6,6
5,1
8,8
4,c
5,6
1,d
2,0
c,d
7,e
8,b
a,9
6,0
7,8
a,6
e,8
c,7
e,9
0,d
9,3
3,a
c,8
3,f
a,e
4,a
d,6
f,9
1,c
e,6
5,3
7,d
1,d
d,f
6,e
5,8
c,1
e,9
2,b
4,2
2,8
4,a
9,3
4,c
6,6
d,3
8,0
9,a
6,6
9,2
2,a
1,4
8,9
2,e
f,9
c,3
6,a
5,4
4,d
7,b
d,0
8,4
c,c
8,6
9,2
a,3
5,a
4,2
8,b
4,c
6,2
8,7
4,3
b,8
9,9
6,5
b,4
5,8
9,c
d,e
6,f
f,3
9,a
4,7
4,7
3,1
d,9
2,d
d,1
e,e
e,4
9,e
7,6
7,f
5,2
7,4
b,b
3,5
f,0
9,9
0,c
0,2
4,d
0,6
6,e
6,5
d,0
1,9
3,3
d,c
4,c
3,8
3,e
d,7
b,2
d,f
6,f
9,e
e,b
0,d
b,8
b,5
2,1
1,d
d,b
6,c
9,c
3,a
b,e
3,2
5,e
5,5
3,b
7,b
2,f
1,4
6,a
2,2
0,c
4,5
2,2
e,3
9,9
3,e
a,6
c,5
1,f
3,0
9,c
2,9
3,f
a,7
3,3
b,e
e,1
d,0
5,2
d,4
e,c
c,0
b,0
a,a
1,b
3,5
5,2
5,c
5,f
d,1
8,f
5,8
9,a
0,6
4,e
7,3
e,9
d,0
6,5
3,5
0,1
b,2
1,e
1,6
d,e
8,2
3,9
8,7
5,2
f,c
4,c
d,4
1,1
9,7
9,1
2,0
3,6
9,3
4,a
4,5
0,1
e,e
4,1
0,b
e,0
5,0
9,9
9,0
9,f
3,b
8,e
6,0
2,b
5,e
b,0
2,0
9,6
c,1
1,d
d,8
a,5
5,3
